iter	Passed	Remaining
0	0	986
1	1	887
2	2	828
3	3	795
4	3	789
5	4	781
6	5	768
7	6	785
8	7	789
9	7	782
10	9	818
11	9	813
12	10	805
13	11	798
14	12	793
15	12	790
16	13	785
17	14	780
18	15	776
19	15	770
20	16	768
21	17	764
22	17	761
23	18	758
24	19	754
25	20	755
26	21	759
27	21	757
28	22	754
29	23	754
30	24	752
31	24	749
32	25	749
33	26	746
34	27	746
35	27	744
36	28	742
37	29	740
38	30	739
39	30	737
40	31	736
41	32	733
42	32	733
43	33	731
44	34	730
45	35	733
46	36	734
47	36	733
48	37	736
49	38	734
50	39	733
51	40	730
52	40	729
53	41	727
54	42	726
55	43	724
56	43	723
57	44	721
58	45	720
59	45	719
60	46	717
61	47	716
62	48	715
63	48	714
64	49	717
65	50	720
66	51	722
67	52	723
68	53	722
69	54	721
70	55	720
71	55	718
72	56	716
73	57	715
74	57	713
75	58	711
76	59	709
77	59	707
78	60	705
79	61	703
80	61	701
81	62	700
82	62	695
83	63	694
84	64	693
85	65	693
86	65	691
87	66	690
88	67	689
89	68	688
90	68	687
91	69	685
92	70	683
93	70	682
94	71	680
95	72	678
96	72	677
97	73	676
98	74	675
99	74	674
100	75	672
101	76	671
102	76	670
103	77	668
104	78	667
105	79	668
106	80	670
107	81	670
108	81	669
109	82	667
110	83	666
111	83	665
112	84	663
113	85	662
114	85	661
115	86	660
116	87	658
117	87	657
118	88	656
119	89	654
120	89	653
121	90	651
122	91	650
123	91	649
124	92	648
125	93	647
126	93	645
127	94	646
128	95	646
129	96	645
130	97	644
131	97	643
132	98	641
133	99	640
134	99	639
135	100	638
136	101	637
137	101	636
138	102	635
139	103	633
140	103	632
141	104	630
142	104	629
143	106	631
144	107	631
145	107	631
146	108	630
147	109	630
148	110	630
149	111	629
150	111	628
151	112	627
152	113	626
153	113	625
154	114	624
155	115	623
156	115	622
157	116	621
158	117	620
159	117	618
160	118	616
161	119	615
162	119	615
163	120	616
164	121	616
165	122	615
166	123	614
167	123	613
168	124	613
169	125	613
170	126	612
171	127	611
172	127	610
173	128	609
174	129	608
175	129	607
176	130	606
177	131	605
178	131	605
179	132	603
180	133	603
181	133	602
182	134	601
183	135	600
184	136	599
185	136	598
186	137	597
187	138	596
188	138	595
189	139	595
190	140	595
191	141	594
192	141	593
193	142	592
194	143	592
195	144	591
196	144	590
197	145	589
198	146	588
199	146	587
200	147	586
201	148	585
202	148	584
203	149	583
204	150	582
205	150	581
206	151	580
207	152	579
208	153	579
209	153	578
210	154	578
211	155	578
212	156	577
213	157	576
214	157	575
215	158	575
216	159	574
217	159	573
218	160	572
219	161	571
220	161	570
221	162	569
222	163	568
223	163	567
224	164	566
225	165	565
226	165	564
227	166	563
228	167	563
229	167	562
230	168	561
231	169	560
232	170	560
233	171	560
234	171	559
235	172	558
236	173	557
237	173	556
238	174	555
239	175	555
240	176	555
241	177	554
242	177	553
243	178	552
244	179	551
245	179	551
246	180	550
247	181	550
248	182	549
249	182	548
250	183	547
251	184	546
252	185	546
253	185	546
254	186	545
255	187	544
256	187	543
257	188	542
258	189	541
259	190	540
260	190	540
261	191	539
262	192	538
263	192	537
264	193	536
265	194	535
266	194	535
267	195	534
268	196	533
269	196	532
270	197	531
271	198	530
272	198	529
273	199	529
274	200	529
275	201	528
276	202	527
277	202	527
278	203	526
279	204	525
280	204	524
281	205	523
282	206	522
283	207	521
284	207	521
285	208	520
286	209	519
287	209	518
288	210	517
289	211	516
290	211	516
291	212	515
292	213	514
293	213	513
294	214	513
295	215	513
296	216	512
297	217	512
298	218	511
299	218	510
300	219	509
301	220	508
302	220	508
303	221	507
304	222	506
305	222	505
306	223	504
307	224	503
308	224	502
309	225	502
310	226	501
311	226	500
312	227	499
313	228	498
314	229	498
315	230	498
316	231	498
317	231	497
318	232	496
319	233	495
320	233	494
321	234	494
322	235	493
323	236	492
324	236	491
325	237	490
326	238	490
327	238	489
328	239	488
329	240	487
330	241	487
331	241	486
332	242	485
333	243	484
334	243	483
335	244	483
336	245	483
337	246	483
338	247	482
339	248	482
340	249	481
341	249	480
342	250	479
343	251	478
344	251	477
345	252	477
346	253	476
347	253	475
348	254	474
349	255	473
350	255	472
351	256	472
352	257	471
353	257	470
354	258	469
355	259	468
356	260	468
357	260	468
358	261	467
359	262	466
360	263	465
361	263	465
362	264	464
363	265	463
364	265	462
365	266	461
366	267	461
367	268	460
368	268	459
369	269	458
370	270	458
371	270	457
372	271	456
373	272	455
374	272	454
375	273	454
376	274	453
377	275	453
378	276	452
379	277	452
380	277	451
381	278	450
382	279	449
383	280	449
384	280	448
385	281	447
386	282	447
387	283	446
388	283	445
389	284	445
390	285	444
391	285	443
392	286	442
393	287	442
394	288	441
395	289	441
396	291	442
397	292	442
398	293	441
399	294	441
400	295	441
401	296	441
402	297	440
403	298	440
404	299	439
405	300	439
406	301	438
407	301	437
408	302	437
409	303	436
410	303	435
411	304	435
412	306	434
413	307	434
414	307	434
415	309	433
416	309	433
417	310	432
418	311	431
419	312	431
420	313	430
421	314	430
422	314	429
423	315	429
424	316	428
425	317	427
426	317	426
427	318	426
428	319	425
429	321	425
430	322	425
431	323	424
432	323	424
433	324	423
434	325	422
435	326	422
436	327	421
437	327	420
438	328	420
439	329	419
440	330	418
441	331	417
442	331	417
443	332	416
444	333	415
445	334	415
446	335	414
447	336	414
448	337	413
449	338	413
450	338	412
451	339	411
452	340	411
453	341	410
454	342	410
455	343	409
456	343	408
457	344	407
458	345	407
459	346	406
460	347	405
461	347	405
462	348	404
463	349	403
464	350	403
465	351	403
466	352	402
467	353	401
468	354	401
469	355	400
470	355	399
471	356	398
472	357	398
473	358	397
474	358	396
475	359	395
476	360	395
477	361	394
478	362	393
479	362	392
480	363	392
481	364	391
482	365	391
483	366	391
484	367	390
485	368	390
486	369	389
487	370	388
488	371	388
489	372	387
490	373	387
491	374	386
492	375	386
493	376	385
494	376	384
495	377	383
496	378	383
497	379	382
498	380	381
499	381	381
500	382	380
501	383	380
502	383	379
503	384	378
504	385	377
505	386	377
506	387	376
507	387	375
508	388	374
509	389	374
510	390	373
511	390	372
512	391	371
513	392	371
514	393	370
515	394	370
516	396	369
517	396	369
518	397	368
519	398	367
520	399	366
521	399	366
522	400	365
523	401	364
524	402	363
525	402	363
526	403	362
527	404	361
528	405	360
529	405	360
530	406	359
531	407	358
532	408	357
533	409	357
534	410	356
535	410	355
536	411	355
537	412	354
538	413	353
539	414	353
540	415	352
541	416	352
542	417	351
543	418	350
544	419	349
545	419	349
546	420	348
547	421	347
548	422	346
549	423	346
550	424	345
551	425	344
552	425	344
553	426	343
554	427	342
555	428	342
556	429	341
557	430	341
558	431	340
559	431	339
560	432	338
561	433	337
562	434	337
563	434	336
564	435	335
565	436	334
566	437	333
567	438	333
568	439	332
569	440	332
570	441	331
571	441	330
572	442	329
573	443	329
574	444	328
575	445	327
576	446	327
577	447	326
578	447	325
579	448	324
580	449	324
581	450	323
582	450	322
583	451	321
584	452	321
585	453	320
586	454	319
587	455	319
588	456	318
589	457	317
590	458	317
591	459	316
592	460	315
593	460	314
594	461	314
595	462	313
596	462	312
597	463	311
598	464	310
599	464	309
600	465	309
601	466	308
602	466	307
603	467	306
604	468	306
605	469	305
606	470	304
607	471	303
608	471	302
609	472	302
610	473	301
611	474	300
612	474	299
613	475	298
614	476	298
615	476	297
616	477	296
617	478	295
618	479	295
619	480	294
620	481	293
621	481	292
622	482	292
623	483	291
624	484	290
625	485	289
626	486	289
627	486	288
628	487	287
629	488	286
630	488	285
631	489	285
632	490	284
633	491	283
634	491	282
635	492	281
636	493	280
637	493	280
638	494	279
639	495	278
640	495	277
641	496	276
642	497	276
643	498	275
644	499	274
645	499	273
646	500	273
647	501	272
648	501	271
649	502	270
650	503	269
651	503	268
652	504	268
653	505	267
654	505	266
655	506	265
656	507	264
657	508	264
658	508	263
659	509	262
660	510	261
661	510	260
662	511	260
663	512	259
664	513	258
665	514	257
666	515	257
667	516	256
668	517	255
669	517	255
670	518	254
671	519	253
672	520	252
673	521	252
674	522	251
675	523	250
676	524	250
677	525	249
678	526	248
679	527	248
680	528	247
681	528	246
682	529	245
683	530	245
684	531	244
685	532	243
686	533	242
687	534	242
688	534	241
689	535	240
690	536	240
691	537	239
692	538	238
693	539	238
694	540	237
695	541	236
696	542	235
697	543	235
698	543	234
699	544	233
700	545	232
701	546	231
702	546	231
703	547	230
704	548	229
705	548	228
706	549	227
707	550	226
708	550	226
709	551	225
710	552	224
711	553	223
712	553	222
713	554	222
714	555	221
715	555	220
716	556	219
717	557	219
718	558	218
719	559	217
720	559	216
721	560	215
722	561	214
723	561	214
724	562	213
725	563	212
726	563	211
727	564	210
728	565	210
729	565	209
730	566	208
731	567	207
732	568	206
733	568	206
734	569	205
735	570	204
736	570	203
737	571	202
738	572	202
739	573	201
740	574	200
741	574	199
742	575	199
743	576	198
744	576	197
745	577	196
746	578	195
747	578	195
748	579	194
749	580	193
750	580	192
751	581	191
752	582	191
753	583	190
754	583	189
755	584	188
756	585	187
757	585	187
758	586	186
759	587	185
760	588	184
761	589	184
762	589	183
763	590	182
764	591	181
765	592	180
766	592	180
767	593	179
768	594	178
769	595	177
770	596	177
771	597	176
772	597	175
773	598	174
774	599	174
775	600	173
776	601	172
777	602	171
778	603	171
779	604	170
780	604	169
781	605	168
782	606	168
783	607	167
784	607	166
785	608	165
786	609	164
787	610	164
788	610	163
789	611	162
790	612	161
791	613	161
792	613	160
793	614	159
794	615	158
795	616	157
796	617	157
797	618	156
798	619	155
799	619	154
800	620	154
801	621	153
802	621	152
803	622	151
804	623	151
805	624	150
806	624	149
807	625	148
808	626	147
809	627	147
810	627	146
811	628	145
812	629	144
813	630	143
814	630	143
815	631	142
816	632	141
817	633	140
818	634	140
819	634	139
820	635	138
821	636	137
822	637	137
823	637	136
824	638	135
825	639	134
826	640	133
827	640	133
828	641	132
829	642	131
830	643	130
831	643	130
832	644	129
833	645	128
834	646	127
835	646	126
836	647	126
837	648	125
838	649	124
839	650	123
840	650	123
841	651	122
842	652	121
843	653	120
844	654	120
845	655	119
846	656	118
847	657	117
848	657	117
849	658	116
850	659	115
851	660	114
852	661	113
853	661	113
854	662	112
855	663	111
856	664	110
857	665	110
858	666	109
859	666	108
860	667	107
861	668	107
862	669	106
863	669	105
864	670	104
865	671	103
866	672	103
867	672	102
868	673	101
869	674	100
870	675	99
871	675	99
872	676	98
